ParkName,State,partySize,BookingType,RateType,Equipment
Battery,NS ,2,CampsitePermit,Senior,ST
Graves Island,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Amherst Shore,NS ,5,CampsitePermit,Full,Tents
Thomas Raddall,NS ,2,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Graves Island,NS ,1,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,ST
Porters Lake,NS ,6,CampsitePermit,Full,Tents
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Smileys,NS ,2,CampsitePermit,Full,Tents
Five Islands,NS ,1,CampsitePermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Full,LT20ft
Smileys,NS ,2,CampsitePermit,Full,LT30ft
Laurie,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,1,CampsitePermit,Full,LT20ft
Mira River,NS ,4,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Senior,LT30ft
Blomidon,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Ellenwood Lake,NS ,5,CampsitePermit,Full,Tents
Laurie,NS ,2,CampsitePermit,Full,LT30ft
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Smileys,NS ,4,CampsitePermit,Full,Tents
Caribou Munroes,NS ,2,CampsitePermit,Senior,LT20ft
Dollar Lake,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Senior,LT30ft
Graves Island,NS ,5,CampsitePermit,Full,LT40ft
Blomidon,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Senior,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Amherst Shore,NS ,1,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Senior,LT30ft
Caribou Munroes,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,LT40ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Porters Lake,NS ,2,CampsitePermit,Full,LT30ft
Blomidon,NS ,2,CampsitePermit,Full,LT20ft
Battery,NS ,4,CampsitePermit,Full,ST
The Islands,NS ,2,CampsitePermit,Senior,LT30ft
Blomidon,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Graves Island,NS ,2,CampsitePermit,Senior,LT30ft
Mira River,NS ,3,CampsitePermit,Full,LT30ft
Graves Island,NS ,4,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,4,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
The Islands,NS ,3,CampsitePermit,Full,ST
Five Islands,NS ,6,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Porters Lake,NS ,4,CampsitePermit,Full,LT30ft
Porters Lake,NS ,5,CampsitePermit,Full,ST
Graves Island,NS ,1,CampsitePermit,Full,ST
Amherst Shore,NS ,5,CampsitePermit,Full,Tents
Graves Island,NS ,4,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,4,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,LT20ft
Porters Lake,NS ,4,CampsitePermit,Full,LT20ft
Ellenwood Lake,NS ,3,CampsitePermit,Full,LT30ft
Battery,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,4,CampsitePermit,Full,Tents
Blomidon,NS ,1,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,5,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Senior,LT20ft
Smileys,NS ,4,CampsitePermit,Full,LT30ft
Amherst Shore,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,6,CampsitePermit,Full,Tents
Blomidon,NS ,1,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,3,CampsitePermit,Full,LT20ft
Cape Chignecto,NS ,1,BackcountryPermit,Full,ST
Porters Lake,NS ,3,CampsitePermit,Full,ST
Whycocomagh,NS ,3,CampsitePermit,Full,Tents
Porters Lake,NS ,5,CampsitePermit,Full,Tents
Five Islands,NS ,4,CampsitePermit,Full,Tents
Ellenwood Lake,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Five Islands,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,3,CampsitePermit,Full,LT30ft
The Islands,NS ,2,CampsitePermit,Full,Tents
Battery,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT20ft
Five Islands,NS ,2,CampsitePermit,Full,Tents
Rissers Beach,NS ,1,CampsitePermit,Full,ST
Blomidon,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,1,CampsitePermit,Full,ST
Porters Lake,NS ,3,CampsitePermit,Full,LT20ft
Laurie,NS ,3,CampsitePermit,Full,Tents
Dollar Lake,NS ,5,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Senior,ST
The Islands,NS ,2,CampsitePermit,Senior,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT30ft
Whycocomagh,NS ,1,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Ellenwood Lake,NS ,6,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,4,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Veteran,LT30ft
Rissers Beach,NS ,3,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,LT40ft
Blomidon,NS ,1,CampsitePermit,Full,ST
Whycocomagh,NS ,3,YurtPermit,Full,Tents
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,5,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Whycocomagh,NS ,2,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,5,CampsitePermit,Full,LT20ft
Amherst Shore,NS ,4,CampsitePermit,Full,LT30ft
Blomidon,NS ,10,CampsitePermit,Full,Tents
Graves Island,NS ,4,CampsitePermit,Full,LT40ft
Whycocomagh,NS ,6,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,6,CampsitePermit,Senior,Tents
Ellenwood Lake,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Veteran,ST
Salsman,NS ,3,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,LT40ft
Mira River,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Senior,LT40ft
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Senior,ST
Blomidon,NS ,4,CampsitePermit,Full,ST
Porters Lake,NS ,4,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,3,CampsitePermit,Full,ST
Amherst Shore,NS ,2,CampsitePermit,Full,LT30ft
Graves Island,NS ,5,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,4,CampsitePermit,Full,LT30ft
Laurie,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,ST
Caribou Munroes,NS ,3,CampsitePermit,Full,LT30ft
Laurie,NS ,4,CampsitePermit,Veteran,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Whycocomagh,NS ,2,CampsitePermit,Full,LT40ft
Five Islands,NS ,3,CampsitePermit,Full,ST
Laurie,NS ,3,CampsitePermit,Full,LT20ft
Smileys,NS ,3,CampsitePermit,Full,Tents
Porters Lake,NS ,3,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT30ft
Laurie,NS ,5,CampsitePermit,Full,LT20ft
Porters Lake,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT40ft
Graves Island,NS ,6,CampsitePermit,Full,Tents
Thomas Raddall,NS ,3,CampsitePermit,Full,ST
Ellenwood Lake,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,6,CampsitePermit,Full,Tents
Mira River,NS ,5,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,2,CampsitePermit,Full,LT20ft
Mira River,NS ,2,CampsitePermit,Full,LT20ft
Mira River,NS ,2,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,5,CampsitePermit,Full,ST
Laurie,NS ,4,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,5,CampsitePermit,Full,ST
Ellenwood Lake,NS ,2,CampsitePermit,Senior,LT30ft
Amherst Shore,NS ,2,CampsitePermit,Senior,ST
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,4,CampsitePermit,Full,LT30ft
Porters Lake,NS ,4,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Senior,LT20ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,LT30ft
Battery,NS ,3,CampsitePermit,Full,ST
Porters Lake,NS ,3,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,3,CampsitePermit,Full,Greater than 40ft
Dollar Lake,NS ,8,CampsitePermit,Full,Tents
Battery,NS ,4,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,3,CampsitePermit,Full,ST
Battery,NS ,1,CampsitePermit,Senior,LT20ft
Graves Island,NS ,4,CampsitePermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,ST
The Islands,NS ,5,CampsitePermit,Veteran,LT30ft
Mira River,NS ,5,CampsitePermit,Full,LT30ft
Valleyview,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Smileys,NS ,2,CampsitePermit,Full,LT40ft
Blomidon,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,1,CampsitePermit,Full,ST
Graves Island,NS ,3,CampsitePermit,Full,LT40ft
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,5,CampsitePermit,Full,Tents
Rissers Beach,NS ,3,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,6,CampsitePermit,Full,LT20ft
Salsman,NS ,2,CampsitePermit,Full,LT20ft
Mira River,NS ,3,CampsitePermit,Full,LT40ft
Whycocomagh,NS ,2,CampsitePermit,Full,LT30ft
The Islands,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,5,CampsitePermit,Full,LT20ft
Mira River,NS ,4,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Cape Chignecto,NS ,4,BackcountryPermit,Full,ST
Mira River,NS ,3,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,3,CampsitePermit,Full,LT30ft
Cape Chignecto,NS ,4,BackcountryPermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Senior,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,6,CampsitePermit,Full,Tents
Dollar Lake,NS ,3,CampsitePermit,Full,Tents
Salsman,NS ,2,CampsitePermit,Senior,ST
Porters Lake,NS ,4,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,1,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,6,CampsitePermit,Full,Tents
Ellenwood Lake,NS ,1,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Senior,LT30ft
Laurie,NS ,4,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,3,CampsitePermit,Full,LT20ft
Boylston,NS ,2,CampsitePermit,Full,ST
The Islands,NS ,2,CampsitePermit,Full,LT20ft
Blomidon,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Porters Lake,NS ,2,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,6,CampsitePermit,Full,Tents
Mira River,NS ,5,CampsitePermit,Full,LT40ft
Dollar Lake,NS ,4,CampsitePermit,Full,Tents
Ellenwood Lake,NS ,6,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,2,CampsitePermit,Full,LT40ft
Dollar Lake,NS ,5,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Veteran,ST
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,LT20ft
Laurie,NS ,5,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,1,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Senior,LT20ft
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
Blomidon,NS ,3,CampsitePermit,Full,Tents
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Graves Island,NS ,4,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,ST
Salsman,NS ,4,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,2,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,3,CampsitePermit,Senior,ST
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Laurie,NS ,2,CampsitePermit,Full,ST
Porters Lake,NS ,5,CampsitePermit,Full,LT20ft
Porters Lake,NS ,5,CampsitePermit,Full,LT40ft
Five Islands,NS ,3,CampsitePermit,Full,LT20ft
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Senior,LT20ft
Porters Lake,NS ,2,CampsitePermit,Full,ST
The Islands,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,3,CampsitePermit,Full,Tents
Rissers Beach,NS ,3,CampsitePermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT40ft
Caribou Munroes,NS ,4,CampsitePermit,Full,LT20ft
Mira River,NS ,4,CampsitePermit,Full,Tents
Mira River,NS ,6,CampsitePermit,Full,LT40ft
Graves Island,NS ,1,CampsitePermit,Senior,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,5,CampsitePermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Senior,ST
Thomas Raddall,NS ,3,CampsitePermit,Full,LT20ft
Graves Island,NS ,4,CampsitePermit,Full,ST
Salsman,NS ,2,CampsitePermit,Senior,LT30ft
Thomas Raddall,NS ,2,CampsitePermit,Senior,LT30ft
Blomidon,NS ,5,CampsitePermit,Full,ST
Salsman,NS ,3,CampsitePermit,Full,LT30ft
Amherst Shore,NS ,3,CampsitePermit,Full,LT20ft
Ellenwood Lake,NS ,3,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,5,CampsitePermit,Full,Tents
Thomas Raddall,NS ,4,CampsitePermit,Full,Tents
Graves Island,NS ,3,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT20ft
Salsman,NS ,4,CampsitePermit,Full,LT30ft
Graves Island,NS ,3,CampsitePermit,Full,Tents
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Amherst Shore,NS ,4,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
Porters Lake,NS ,6,CampsitePermit,Senior,Tents
Graves Island,NS ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,6,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Senior,LT20ft
Rissers Beach,NS ,3,CampsitePermit,Full,LT20ft
Laurie,NS ,3,CampsitePermit,Full,LT30ft
Smileys,NS ,4,CampsitePermit,Full,LT40ft
Caribou Munroes,NS ,6,CampsitePermit,Senior,LT20ft
Dollar Lake,NS ,6,CampsitePermit,Full,ST
Boylston,NS ,2,CampsitePermit,Full,LT20ft
Mira River,NS ,6,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Porters Lake,NS ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,5,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Full,ST
Laurie,NS ,2,CampsitePermit,Full,Tents
Mira River,NS ,5,CampsitePermit,Full,LT40ft
Mira River,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,4,CampsitePermit,Full,Tents
Mira River,NS ,2,CampsitePermit,Senior,LT30ft
Thomas Raddall,NS ,4,CampsitePermit,Full,LT30ft
Cape Chignecto,NS ,1,BackcountryPermit,Full,ST
Ellenwood Lake,NS ,6,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,3,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,6,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,Tents
Porters Lake,NS ,3,CampsitePermit,Full,LT30ft
Graves Island,NS ,3,CampsitePermit,Full,ST
Battery,NS ,4,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,3,CampsitePermit,Full,LT20ft
Blomidon,NS ,4,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT30ft
Amherst Shore,NS ,2,CampsitePermit,Full,LT30ft
Five Islands,NS ,3,CampsitePermit,Full,LT20ft
Ellenwood Lake,NS ,1,CampsitePermit,Full,ST
Graves Island,NS ,3,CampsitePermit,Full,Tents
Caribou Munroes,NS ,4,CampsitePermit,Full,LT20ft
Mira River,NS ,4,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,5,CampsitePermit,Senior,LT20ft
Rissers Beach,NS ,5,CampsitePermit,Veteran,LT20ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Battery,NS ,2,CampsitePermit,Full,ST
Laurie,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,4,CampsitePermit,Full,ST
Five Islands,NS ,3,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Veteran,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,LT20ft
Mira River,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,1,CampsitePermit,Full,ST
Rissers Beach,NS ,3,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,6,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Mira River,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Senior,LT20ft
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
Porters Lake,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,3,CampsitePermit,Senior,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,2,CampsitePermit,Senior,LT30ft
Graves Island,NS ,2,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,LT20ft
Blomidon,NS ,4,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,6,CampsitePermit,Full,LT30ft
Smileys,NS ,1,CampsitePermit,Veteran,ST
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,3,CampsitePermit,Full,ST
Dollar Lake,NS ,5,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Senior,LT20ft
Porters Lake,NS ,2,CampsitePermit,Full,LT30ft
Battery,NS ,2,CampsitePermit,Full,ST
Porters Lake,NS ,4,CampsitePermit,Full,LT20ft
Battery,NS ,2,CampsitePermit,Senior,ST
Porters Lake,NS ,2,CampsitePermit,Full,ST
Porters Lake,NS ,4,CampsitePermit,Full,Tents
Blomidon,NS ,2,CampsitePermit,Full,ST
Battery,NS ,5,CampsitePermit,Full,ST
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT30ft
Graves Island,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Senior,Tents
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,6,CampsitePermit,Full,LT20ft
Whycocomagh,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,6,CampsitePermit,Full,Tents
Ellenwood Lake,NS ,4,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT40ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,4,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,3,CampsitePermit,Senior,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Senior,LT20ft
Rissers Beach,NS ,4,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,3,CampsitePermit,Full,ST
Dollar Lake,NS ,1,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT30ft
Laurie,NS ,4,CampsitePermit,Full,ST
Ellenwood Lake,NS ,1,CampsitePermit,Full,ST
Rissers Beach,NS ,7,CampsitePermit,Full,LT40ft
Graves Island,NS ,4,CampsitePermit,Full,LT30ft
Mira River,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,3,CampsitePermit,Full,ST
Dollar Lake,NS ,1,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,6,CampsitePermit,Full,LT40ft
Smileys,NS ,2,CampsitePermit,Full,LT40ft
Battery,NS ,3,CampsitePermit,Full,ST
Dollar Lake,NS ,5,CampsitePermit,Full,ST
Rissers Beach,NS ,5,CampsitePermit,Full,ST
Dollar Lake,NS ,1,CampsitePermit,Full,ST
Boylston,NS ,3,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,Tents
Graves Island,NS ,4,CampsitePermit,Senior,LT30ft
Blomidon,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,5,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Porters Lake,NS ,6,CampsitePermit,Full,LT30ft
Laurie,NS ,3,CampsitePermit,Full,ST
Smileys,NS ,1,CampsitePermit,Full,LT30ft
Laurie,NS ,3,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Senior,LT30ft
Five Islands,NS ,2,CampsitePermit,Veteran,ST
Amherst Shore,NS ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Senior,LT20ft
Thomas Raddall,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,4,CampsitePermit,Full,Tents
Mira River,NS ,5,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,LT30ft
Salsman,NS ,2,CampsitePermit,Full,ST
Porters Lake,NS ,3,CampsitePermit,Full,Tents
Dollar Lake,NS ,5,CampsitePermit,Full,Tents
Five Islands,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Senior,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT40ft
Ellenwood Lake,NS ,3,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,2,CampsitePermit,Full,Tents
Graves Island,NS ,6,CampsitePermit,Full,Tents
Porters Lake,NS ,4,CampsitePermit,Full,Tents
Caribou Munroes,NS ,4,CampsitePermit,Full,Tents
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,3,CampsitePermit,Full,LT30ft
Graves Island,NS ,2,CampsitePermit,Full,LT40ft
Graves Island,NS ,2,CampsitePermit,Senior,LT20ft
Blomidon,NS ,1,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,ST
Five Islands,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,6,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,3,CampsitePermit,Senior,LT20ft
Salsman,NS ,2,CampsitePermit,Full,ST
Cape Chignecto,NS ,1,BackcountryPermit,Full,ST
Blomidon,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,LT20ft
Laurie,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,LT40ft
Laurie,NS ,4,CampsitePermit,Full,LT20ft
Battery,NS ,3,CampsitePermit,Full,ST
